-144,-8,1,-6,0,-13,0,1,-6,-2,4,-6,-2,-2,4,32,0,-570,-2,-9,0,0,-11,0,2,9,-14,0,168,-12,1,42,-146,-1,-1,-55,-38,-14,5,20,-3,-82,-6,1,13,7,2,-33,-59,-26,7
51,4,-2,3,0,-2,0,-3,-9,1,-4,12,1,-9,-1,-63,0,909,-2,4,0,0,4,0,-2,-11,9,0,-294,7,-2,96,127,-1,-74,36,-32,17,-6,-23,-15,60,10,0,-9,0,-13,17,59,7,9
5,0,1,0,0,14,0,2,-2,0,4,-16,0,24,-1,-19,0,-333,3,13,0,0,-5,0,3,7,-4,0,530,1,1,-295,-76,1,158,-28,115,13,1,63,12,-22,-10,0,6,5,13,0,-11,4,-17
-47,0,1,1,0,-17,0,2,31,1,-4,21,0,-29,3,39,0,-23,-2,-17,0,0,15,0,-4,-7,6,0,-750,-4,0,530,67,4,-64,25,-125,-24,-2,-78,15,-118,-2,1,14,1,0,-14,-18,32,11
119,0,-1,-2,0,76,0,-3,-13,-2,3,-9,5,59,-3,24,0,-219,1,0,0,0,-16,0,2,18,-8,0,239,2,0,-684,-85,-8,-103,40,51,12,6,35,-2,227,12,-2,-23,0,-3,29,29,-48,-10
-109,0,-1,3,0,-110,0,0,-23,1,-1,-11,-10,-84,0,-9,0,11,0,17,0,0,8,0,0,-18,5,0,572,0,0,486,29,6,109,-41,-16,-9,-1,-12,-20,-214,-12,1,5,-8,-5,-16,-60,22,20
46,0,1,-4,0,48,0,2,31,0,5,13,5,20,6,24,0,342,0,-22,0,0,-1,0,0,8,3,0,-591,-1,0,64,2,-1,-2,-6,53,-15,-5,16,7,84,5,1,31,11,-1,1,26,-11,-18
-18,0,0,3,0,19,0,-2,-30,0,-11,-10,1,38,-8,-10,0,-134,0,7,0,1,1,0,0,-14,-6,2,-120,2,0,-560,10,-4,134,3,7,41,5,1,0,-34,3,-2,-55,-7,13,1,15,15,-3
4,0,0,-2,0,-49,0,1,2,0,6,-8,-2,-38,9,-156,0,-376,1,5,0,-2,-1,0,0,28,-1,-4,304,-1,0,533,-8,3,-271,-12,-99,-37,-5,-52,-6,37,-2,1,28,-7,-13,-2,-6,-22,18
-20,0,0,1,0,35,0,0,8,0,1,17,1,26,-12,162,0,1463,-2,2,0,1,-4,0,1,-29,4,2,-61,-1,0,-153,11,0,173,16,98,12,2,123,4,52,-4,0,11,9,-6,2,-2,14,-21
40,0,0,0,0,22,0,2,40,0,6,5,0,1,6,-47,0,-1314,3,-6,0,0,6,0,-2,14,-2,2,538,2,0,-237,-5,0,-90,2,-83,10,3,-149,16,-104,5,0,-22,-1,11,-2,-8,9,16
-66,1,0,0,0,-56,0,-3,-52,0,-14,-5,1,-24,-2,57,0,116,-4,-1,0,0,-3,0,1,-7,7,-4,-838,-2,0,322,4,1,-46,107,31,-18,-4,75,-22,92,1,0,12,9,-3,1,30,-16,-6
156,-2,0,1,0,21,0,1,44,1,6,12,-2,20,5,33,0,-168,5,11,0,0,7,0,0,7,-9,0,-99,4,0,32,-4,0,202,-123,80,26,17,-23,18,-55,-8,2,8,-17,13,18,-26,13,2
-168,1,0,-2,0,16,0,1,-52,-2,4,-35,1,16,6,-1,0,122,-6,-14,0,6,-11,0,0,9,1,5,1064,-3,0,-306,17,-3,-180,45,-98,-35,-16,30,-22,21,5,-2,-11,29,-13,-36,14,-9,0
